tier,path,mtime_utc,size_bytes,sha256
0,/home/sogang/jaehoon/tier0/acting in play/0bdVrgImymc_000020_000030/lma_features_id0.npy,2026-04-13T02:50:21.301353+00:00,36208,ac579e094e16c59fff87116b97a3c48b66572bdc3f510194f9c66999044202ac
0,/home/sogang/jaehoon/tier0/acting in play/0bdVrgImymc_000020_000030/lma_features_id16.npy,2026-04-13T02:50:21.349354+00:00,74488,9bea691170fe53da90de2978e92bcb55813980a2531f9b1841054c04507f4111
0,/home/sogang/jaehoon/tier0/acting in play/0bdVrgImymc_000020_000030/lma_features_id17.npy,2026-04-13T02:50:21.349354+00:00,28728,7f748c7544e733931bb6b5a2253eb42672f7e80af8462170bd6fac577b268397
0,/home/sogang/jaehoon/tier0/acting in play/0bdVrgImymc_000020_000030/lma_features_id18.npy,2026-04-13T02:50:21.349354+00:00,43688,1e8e3f62435bc6baf1b519e85e7796aee9eff97daa62b4fd30b55574def3adc4
0,/home/sogang/jaehoon/tier0/acting in play/0bk_zXtqOTQ_000020_000030/lma_features_id0.npy,2026-04-13T02:50:21.525356+00:00,132128,c462b3d5c8aafa9d17adff70cdc728fd128296915539c5bb5ef54c7d3e635a33
0,/home/sogang/jaehoon/tier0/acting in play/0lZhBK_QOak_000283_000293/lma_features_id1.npy,2026-04-13T02:50:22.225368+00:00,77568,f8799d70380c69e311e57eb0f9dca927437ed5315bb265ec4d119295ece9d1c6
0,/home/sogang/jaehoon/tier0/acting in play/0lZhBK_QOak_000283_000293/lma_features_id11.npy,2026-04-13T02:50:22.237368+00:00,34448,01de9a0fb604e482df986f93e2e497f13545e2e2c6eaea0275b9f9258ac5dfe0
0,/home/sogang/jaehoon/tier0/acting in play/0lZhBK_QOak_000283_000293/lma_features_id12.npy,2026-04-13T02:50:22.237368+00:00,75368,be452d326a9dc178bd3b24e7fb61ea776d64bffc95195378f84ff64a93c4115c
0,/home/sogang/jaehoon/tier0/acting in play/0lZhBK_QOak_000283_000293/lma_features_id2.npy,2026-04-13T02:50:22.237368+00:00,47208,6e0df236d89ba001e378894d250403f2231857b252000d89614e14d9d939b481
0,/home/sogang/jaehoon/tier0/acting in play/0ulPCvO6Z6k_000105_000115/lma_features_id0.npy,2026-04-13T02:50:22.469372+00:00,78888,baefddb03da72529870e43cfb612a81c13f310b3d1e20a9912ed37cc05f67196
0,/home/sogang/jaehoon/tier0/acting in play/0ulPCvO6Z6k_000105_000115/lma_features_id1.npy,2026-04-13T02:50:22.473372+00:00,41048,d32b42bfedb5d612f2c80263c0f91d2d5a45daf2c9237ca8e7c140a6172b0cd9
0,/home/sogang/jaehoon/tier0/acting in play/0ulPCvO6Z6k_000105_000115/lma_features_id2.npy,2026-04-13T02:50:22.473372+00:00,38408,750d9803b29bdb3701df449a0b4120c95a457fd6700919e5153067e2505ee929
0,/home/sogang/jaehoon/tier0/acting in play/11Hm91oPhGs_000787_000797/lma_features_id3.npy,2026-04-13T02:50:22.817377+00:00,110128,6d7d1cd358fb9bd3cd1e604a0eb171a9393941c6bb7de1a4278540cd17378a22
0,/home/sogang/jaehoon/tier0/acting in play/11Hm91oPhGs_000787_000797/lma_features_id32.npy,2026-04-13T02:50:22.825377+00:00,36208,5ef13784dea3501f063fc2f2d6fe24cf27446d320240ec29ca126c4511aae0c8
0,/home/sogang/jaehoon/tier0/acting in play/11Hm91oPhGs_000787_000797/lma_features_id5.npy,2026-04-13T02:50:22.821378+00:00,30488,438872701eb912406b9b349b4f3e85789b304f8e424abdb0704d8f0ac5c18515
0,/home/sogang/jaehoon/tier0/acting in play/11Hm91oPhGs_000787_000797/lma_features_id7.npy,2026-04-13T02:50:22.821378+00:00,29168,4416d908af9d09d338316a0648fd5f4ddc65da1bacd8407d9cabd67231b82610
0,/home/sogang/jaehoon/tier0/acting in play/11Hm91oPhGs_000787_000797/lma_features_id8.npy,2026-04-13T02:50:22.821378+00:00,30488,1ad32789ebfa673f40e8d5767ac67c71df6db222eafbbde842f1dbd5032bcb2f
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id0.npy,2026-04-13T02:50:24.045397+00:00,125528,ab5525e475149d2ef1f293ddc20e9fab1ccfbce86cc5195159f6c69ecb329164
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id12.npy,2026-04-13T02:50:24.053397+00:00,100008,6c934ffc43797c5c447a81026ed8f66ca632079baa5dfc3bb0a50602601c9ee7
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id13.npy,2026-04-13T02:50:24.057398+00:00,69208,0650542c760978ac3c48e19d230b98c06309ea1acfbc682166001bffe38d688e
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id14.npy,2026-04-13T02:50:24.057398+00:00,48088,2813ba90b20045e76609a0fce38b39010f67c475656a711eaca73e5c67a33753
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id18.npy,2026-04-13T02:50:24.057398+00:00,89888,b786dbdc0ca2431efd3ed4b0cb27882dad1c7aecc242366423c4d03f15e2b214
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id2.npy,2026-04-13T02:50:24.045397+00:00,31368,e771e46f96c2269a20cb97173d2cab8795021842e6422ac4885c326f499e90dc
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id23.npy,2026-04-13T02:50:24.061398+00:00,75808,d405ee621b04422c90488b72187f6ea8cee1a0227191a5a26fabaff5c9ce04b2
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id3.npy,2026-04-13T02:50:24.049397+00:00,125528,d435dbd63edbf98a9a4a9dd1264ec74f2b7a5289b6de80d77148a6d5b482c069
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id4.npy,2026-04-13T02:50:24.049397+00:00,125528,53913eaa91def275b3879cba3f6f1d3cb8fa10d4cadba121b9755da786076366
0,/home/sogang/jaehoon/tier0/acting in play/15-kC7v3Cnc_000130_000140/lma_features_id5.npy,2026-04-13T02:50:24.053397+00:00,50288,e2c4f6a515d1df650212dd85eb2154ccf0f1686f851d3cdb3a557546e874bbe6
0,/home/sogang/jaehoon/tier0/acting in play/17wqENNFlPA_000127_000137/lma_features_id0.npy,2026-04-13T02:50:24.313402+00:00,41048,b8aaeda181b7db7082de8acf923f1a97235e08132bd2a5138ef42ee14db5fb5d
0,/home/sogang/jaehoon/tier0/acting in play/17wqENNFlPA_000127_000137/lma_features_id2.npy,2026-04-13T02:50:24.313402+00:00,43248,537ca3031abd42b324b2811c3914b103fa19f6f7b9ef33f88ada0cc94f072814
0,/home/sogang/jaehoon/tier0/acting in play/17wqENNFlPA_000127_000137/lma_features_id3.npy,2026-04-13T02:50:24.317402+00:00,43688,dff10c2ac94c423c1d1595d04fcaef494b656a3043dc9eec21a8ab4d2cd6b1a9
0,/home/sogang/jaehoon/tier0/acting in play/17wqENNFlPA_000127_000137/lma_features_id5.npy,2026-04-13T02:50:24.317402+00:00,43248,0d4560f90b7adc83a0e0b010e991cfc18302b9b2bda44f10c3c892a23d684425
0,/home/sogang/jaehoon/tier0/acting in play/18r_BKIwinM_000085_000095/lma_features_id0.npy,2026-04-13T02:50:24.525405+00:00,105728,c5b8a1f02b2fff12001b40cc7837c66bf414aeec0bda653386ba6f3a037ea403
0,/home/sogang/jaehoon/tier0/acting in play/18r_BKIwinM_000085_000095/lma_features_id62.npy,2026-04-13T02:50:24.529405+00:00,34888,faf45ea78a1038318526354645013309a33fab7acea36c3d208eff0f3d2bfae2
0,/home/sogang/jaehoon/tier0/acting in play/1R6w87CFG7g_000053_000063/lma_features_id0.npy,2026-04-13T02:50:24.657407+00:00,42368,985eb682cd52dc96e6f3754701284bee81cf8a85906adba7a0460cb851afc665
0,/home/sogang/jaehoon/tier0/acting in play/1R6w87CFG7g_000053_000063/lma_features_id1.npy,2026-04-13T02:50:24.657407+00:00,42368,d5b4db4553ef7e752a301caeb3732650ddde73f3b0c02531bb533d10a2bb6745
